date,open,high,low,close,volume,per,pbr,roe,open_lastclose_ratio,high_close_ratio,low_close_ratio,diffratio,volume_lastvolume_ratio,close_ma5_ratio,volume_ma5_ratio,close_ma10_ratio,volume_ma10_ratio,close_ma20_ratio,volume_ma20_ratio,close_ma60_ratio,volume_ma60_ratio,close_ma120_ratio,volume_ma120_ratio,ind,ind_diff,ind_ma5,ind_ma10,ind_ma20,ind_ma60,ind_ma120,inst,inst_diff,inst_ma5,inst_ma10,inst_ma20,inst_ma60,inst_ma120,foreign,foreign_diff,foreign_ma5,foreign_ma10,foreign_ma20,foreign_ma60,foreign_ma120
20210316,96545,97348,95943,96143,1349428,50.89,6.83,14.81,0.0041812716474418,0.0125334137690731,-0.0020802346504685,0.0,-0.2171447202165541,0.0071463888842331,-0.5297131218956621,0.0149342910196847,-0.5874724960621316,-0.0085411913324825,-0.6249191809888057,0.0737665630174124,-0.6762495333517999,0.1837597028832056,-0.6263367817430566,0.2039667273391839,0.0386426199460034,0.0087527286738551,0.1490059495411474,0.1391374454632709,0.0179693582773294,0.0228909143586523,-0.0618268950316223,0.0356090913375713,-0.0295616141957906,-0.0500265376651977,-0.0469552754342043,-0.0140851844458652,-0.0208705934411596,-0.142313358168453,-0.0695897114942136,0.0166592044038878,-0.09858006139765,-0.0921769376371764,-0.0030631521695585,-0.0019800037641468
20210317,96143,98552,95943,97348,2012551,50.89,6.83,14.81,0.0,0.0123679993425647,-0.0144327567078933,0.0125334137690731,0.4914104346434194,0.0091598558639249,-0.1527622156594705,0.0295089664828989,-0.3728730808922433,0.0069067880978792,-0.413297587323631,0.0826133834226077,-0.5172590005817892,0.1959361904462575,-0.4421902688726519,-0.0889039071377115,-0.2928706344768955,0.0303873322379041,0.1306425301194506,0.1393528693352673,0.0137657282847929,0.0199279200289211,0.0130188413008444,0.0748457363324667,-0.0297517623648863,-0.0561048258167375,-0.0449669859645853,-0.0130230367292483,-0.0205186959180181,0.0833710852500167,0.2256844434184697,-0.0032249127779206,-0.07689954990362,-0.0941621516080629,0.0001787217622143,0.0006405850565291
20210318,98050,101161,97548,99957,3844704,50.89,6.83,14.81,0.007211242141595,0.0120451794271536,-0.0241003631561571,0.0268007560504581,0.9103635137693404,0.0280765053400695,0.732167773251919,0.0535230209488315,0.1839231854610801,0.0350746117965388,0.104048057613864,0.106441763120711,-0.0869266699397078,0.2247918745028523,0.0637343470357001,-0.3363703629792522,-0.2474664558415406,0.0014125212446336,0.0481583381566,0.1072402199462146,0.0099948802135704,0.0166497124418618,0.1384209087245382,0.1254020674236938,-0.0003188296893048,-0.0255121701066834,-0.029499834429939,-0.0113686296018249,-0.0187884404420636,0.1933064402220042,0.1099353549719875,-0.0016151638606097,-0.0245115874569207,-0.0776388629722462,0.0022566521194802,0.0021671541618314
20210319,98050,99756,97147,98853,2575673,50.89,6.83,14.81,-0.0190782036275598,0.009134775879336,-0.0172579486712592,-0.0110447492421741,-0.3300724841236152,0.0119174357756466,0.1192658804274122,0.037170169436042,-0.1823131304643124,0.0245474534523921,-0.2630069323341307,0.0892402453884078,-0.3890522166266869,0.2083049652065178,-0.2875527639377651,0.1805346811584952,0.5169050441377474,0.0249102491547792,0.0289250120880656,0.1115276185262651,0.0099508610180108,0.0183771941652019,-0.1318307636063994,-0.2702516723309377,-0.0279307789963665,-0.0232345535159725,-0.03247353065807,-0.0132958867091539,-0.0202810231917452,-0.0599886649606078,-0.253295105182612,0.0003303711337442,-0.0092333028808308,-0.0793470741317907,0.0038211210646049,0.0017234636354377
20210322,98953,99656,97950,99154,1569549,50.89,6.83,14.81,0.0010116030874125,0.005062831554955,-0.0121427274744336,0.0030449252931119,-0.3906256733676985,0.0087800510728346,-0.3086847537924251,0.0316376938859594,-0.4710622097357034,0.0287370751637716,-0.5383710368059884,0.0874661105927976,-0.6268780913236986,0.2087837178179905,-0.5647772451406657,-0.0143063469138349,-0.1948410280723301,-0.0110158417066238,-0.0042199862941049,0.1086926715892764,0.0078320492283884,0.0173122975276911,0.0339803513895281,0.1658111149959276,-0.0016475114446221,-0.0140216094376427,-0.0320564537956016,-0.0118901177139554,-0.0196787932705115,-0.0275810624216356,0.0324076025389721,0.0093588879842649,0.0139655637789136,-0.077524941048038,0.0042346339717324,0.0022074289562993
20210323,99556,100961,97448,98452,1893034,50.89,6.83,14.81,0.004054299372693,0.0254845000609433,-0.0101978629179702,-0.0070798959194787,0.2061006059702501,-0.0030459895820675,-0.2043074063821218,0.0138527888881108,-0.2786345410633818,0.0214537237431031,-0.4323733749093628,0.0753873646098974,-0.5460353022955701,0.1968698447200816,-0.4720363138782286,0.0396958659241401,0.0540022128379751,-0.0438700139896326,-0.0175586426578887,0.0941377366825233,0.0159936154850762,0.0177177947959,-0.068103820361929,-0.1020841717514571,-0.0029028965106835,-0.0162322553532371,-0.0291523715455032,-0.0175484098142637,-0.0200576243570561,0.0188070448779358,0.0463881072995715,0.0415829685935427,0.0291210864987152,-0.0661088893815266,0.0014838114143281,0.0019776557392427
20210324,97649,98753,96746,98753,1437662,50.89,6.83,14.81,-0.0081562588875797,0.0,-0.0203234332121555,0.0030573274285946,-0.2405514111209835,-0.002835395592212,-0.3650251726451072,0.0102701712854644,-0.3802581060218157,0.0240432874575877,-0.5564307121337255,0.0741223418092456,-0.6511529591867251,0.1974488747808658,-0.5960364982536378,-0.0358777805886409,-0.0755736465127811,-0.0332647886798184,-0.0014387282209572,0.0861838006449745,0.0183183030600809,0.018099904670919,-0.0214788451741907,0.0466249751877382,-0.0098024338056905,-0.0197770980852884,-0.0271090955786489,-0.0198237352971356,-0.0207646974597506,0.0601151221743605,0.0413080772964247,0.0369317759784114,0.0168534316002453,-0.0600990020287917,0.0013111366129513,0.0022177220353521
20210325,98351,98552,96746,97348,1935716,50.89,6.83,14.81,-0.004070762407218,0.0123679993425647,-0.0061839996712823,-0.0142274158759733,0.3464333062986988,-0.0118158193925612,0.0283634063968063,-0.0053295405314827,-0.0561897656749728,0.0082667140342527,-0.3896915059046077,0.0547148401300425,-0.5280048103431334,0.1772366015034716,-0.4536994855823213,0.3458102442276163,0.3816880248162572,0.1031713327615552,0.0522919270030943,0.0953186225104517,0.0262432416525365,0.0192759728611859,-0.0448149568502899,-0.0233361116760992,-0.0464496069206561,-0.0233842183049805,-0.0257999062950155,-0.0216442251042361,-0.0208647710986916,-0.3005448728672873,-0.3606599950416478,-0.0618384866394468,-0.0317268252500283,-0.0703086397945375,-0.0048461008631445,0.0011066209025004
20210326,97950,99355,97548,99355,1915868,50.89,6.83,14.81,0.0061839996712824,0.0,-0.0181873081374868,0.0206167563791757,-0.0102535702551407,0.0075304931225688,0.09455292145219,0.0122709387410773,-0.0542618140636514,0.0279317471115123,-0.3873847596055758,0.0717593137777516,-0.5320809870726635,0.1980299518541197,-0.4588879188536551,-0.3662335163192015,-0.7120437605468178,-0.0061823067339841,0.0093639712103975,0.075968548261644,0.0197339809153485,0.016290311675156,0.0366353137587863,0.0814502706090762,-0.012756391447619,-0.0203435852219928,-0.0280943589453898,-0.0210609047865897,-0.0206245756274667,0.3308022166341175,0.6313470895014048,0.0163196896794982,0.0083250304066211,-0.0492386124577805,0.0015424689990114,0.0038268003036021
20210329,99556,99656,97348,97849,1739330,50.89,6.83,14.81,0.0020230486638821,0.0184672301198784,-0.00512013408415,-0.0151577676010266,-0.0921451791041971,-0.0051082140162722,-0.0252151797713641,-0.0048026264935741,-0.1420678653898941,0.0124034921810818,-0.3813407764179836,0.0511705604778389,-0.5726202373387377,0.1770574306043273,-0.506866027183708,0.3091491866530321,0.6753827029722337,0.0585087999793893,0.0237464791363826,0.0736846944232599,0.0288598002391486,0.0205462272478968,-0.1539931197062269,-0.1906284334650132,-0.05035108566677,-0.0259992985556961,-0.0324471526758974,-0.0261550014967382,-0.0226214103902073,-0.166911573043685,-0.4977137896778025,-0.0115464124449116,-0.0010937622303233,-0.0432325591065219,-0.0030390782889044,0.0015381448555367
